net,length_um
_038_,101.28
_030_,100.45
_035_,94.98
clknet_1_0__leaf_clk,61.06
net1,54.12
clk,49.72
clknet_1_1__leaf_clk,45.1
count\[1\],41.72
count\[0\],41.46
net2,36.52
net6,36.12
count\[4\],35.95
count\[7\],32.54
net7,32.22
_052_,30.8
count\[8\],30.08
count\[2\],29.58
_044_,29.12
clknet_0_clk,28.32
count\[3\],28.3
net3,25.46
_012_,23.08
count\[10\],22
net4,21.9
_058_,20.62
_024_,19.44
_049_,17
_016_,15.68
DIVIDE_BY_N[0],15.36
_013_,15.12
_027_,14.12
_017_,13.84
_014_,12.82
count\[9\],12.76
_018_,12.64
count\[5\],12.62
rst,12.6
sync_out,12.33
_011_,11.6
_025_,11.54
_061_,10.92
comb_out,10.85
_055_,10.42
_019_,9.84
_037_,9.575
_034_,9.14
_020_,9.04
_042_,8.9
DIVIDE_BY_N[1],8.84
net10,7.68
count\[6\],7.52
_039_,7.4
_045_,7.24
_033_,7.12
_031_,7.1
DIVIDE_BY_N[2],6.77
_015_,6.66
net8,6.64
_032_,6.62
_005_,6.365
_043_,6.28
net12,6.26
_051_,6.18
_004_,6.025
_006_,6.025
DIVIDE_BY_N[3],5.75
net11,5.38
net13,5.34
_048_,5.22
_041_,5.16
_047_,4.76
_008_,4.625
_021_,4.34
_022_,4.34
net5,4.34
_053_,4.22
_056_,4.14
_003_,4.065
_023_,4
_057_,3.54
_050_,3.44
net9,3.42
_007_,3.245
_046_,3.245
_059_,3.2
_040_,3.18
_054_,3.1
_000_,3.005
_036_,2.96
_060_,2.96
_028_,2.745
_001_,2.545
_009_,1.865
net14,1.72
_002_,1.685
_010_,1.685
_029_,1.36
_026_,1.14
